classification,Coin,total_pnl,average_pnl,total_trades,win_rate
Greed,SAND,573.822965,12.208999255319148,47,27.659574468085108
Greed,SEI,-922.781714,-13.182595914285713,70,31.428571428571427
Greed,SHIA,273.568643,91.18954766666667,3,100.0
Greed,SOL,451690.01397699997,284.7982433650693,1586,28.688524590163933
Greed,SPX,3490.225951,71.22910104081632,49,85.71428571428571
Greed,STG,179.54376000000002,25.649108571428574,7,71.42857142857143
Greed,STRK,-1608.81,-89.37833333333333,18,0.0
Greed,STX,47.994885999999994,23.997442999999997,2,100.0
Greed,SUI,101637.557765,115.49722473295455,880,33.52272727272727
Greed,SUPER,7.091044,1.0130062857142856,7,14.285714285714285
Greed,SUSHI,278.313568,13.253027047619046,21,33.33333333333333
Greed,TAO,2374.233545,3.2258607948369566,736,55.97826086956522
Greed,TIA,4921.6745470000005,42.42822885344828,116,30.17241379310345
Greed,TNSR,2974.547001,12.240934160493827,243,52.674897119341566
Greed,TON,-17.947964,-2.563994857142857,7,0.0
Greed,TRUMP,-432914.836315,-848.8526202254902,510,28.627450980392155
Greed,TST,-177.198923,-2.6447600447761195,67,4.477611940298507
Greed,TURBO,916.649485,26.960278970588234,34,79.41176470588235
Greed,UNI,313.182412,11.599348592592593,27,22.22222222222222
Greed,UNIBOT,325.055769,81.26394225,4,50.0
Greed,USTC,259.617366,129.808683,2,50.0
Greed,USUAL,19215.983896,87.34538134545456,220,53.18181818181819
Greed,VINE,44.167294,0.4461342828282828,99,19.19191919191919
Greed,VIRTUAL,-2174.803249,-10.50629588888889,207,25.60386473429952
Greed,VVV,556.482105,42.80631576923077,13,92.3076923076923
Greed,W,1218.404228,4.686170107692308,260,33.84615384615385
Greed,WIF,743.307147,7.508153,99,26.262626262626267
Greed,WLD,8147.2458050000005,7.571789781598514,1076,34.014869888475836
Greed,XRP,768.393924,4.573773357142857,168,42.26190476190476
Greed,YGG,7.876652,0.7160592727272728,11,18.181818181818183
Greed,ZEN,-1475.390707,-49.17969023333333,30,26.666666666666668
Greed,ZEREBRO,6155.199495,28.364974631336406,217,78.80184331797236
Greed,ZETA,2163.86907,27.39074772151899,79,92.40506329113924
Greed,ZK,1.6456,0.27426666666666666,6,16.666666666666664
Greed,ZORA,6816.51283,44.84547914473684,152,63.81578947368421
Greed,ZRO,143815.507053,124.83984987239585,1152,33.24652777777778
Greed,kBONK,-2021.400269,-2.7242591226415094,742,7.816711590296496
Greed,kFLOKI,46.630962,15.543653999999998,3,33.33333333333333
Greed,kNEIRO,8.159745000000001,2.0399362500000002,4,50.0
Greed,kPEPE,-6949.144929,-14.880395993576018,467,8.993576017130621
Greed,kSHIB,0.0,0.0,3,0.0
Neutral,@107,219551.950858,52.15010709216152,4210,40.09501187648456
Neutral,@109,0.510213,0.510213,1,100.0
Neutral,@138,19.530304,9.765152,2,100.0
Neutral,@142,4615.868031,14.747182207667732,313,27.15654952076677
Neutral,@151,0.0,0.0,3,0.0
Neutral,@153,0.0,0.0,1,0.0
Neutral,@20,4.738087999999999,0.22562323809523807,21,9.523809523809524
Neutral,@23,0.0,0.0,13,0.0
Neutral,@28,0.0,0.0,1,0.0
Neutral,@3,0.462514,0.03854283333333333,12,16.666666666666664
Neutral,@38,0.0,0.0,6,0.0
Neutral,@4,-853.866594,-3.246641041825095,263,2.6615969581749046
Neutral,@41,0.0,0.0,1,0.0
Neutral,@42,0.0,0.0,1,0.0
Neutral,@44,0.0,0.0,1,0.0
Neutral,@51,0.0,0.0,96,0.0
Neutral,@59,0.0,0.0,7,0.0
Neutral,@74,0.0,0.0,2,0.0
Neutral,@78,0.0,0.0,8,0.0
Neutral,@8,0.0,0.0,76,0.0
Neutral,@83,-1044.789706,-348.26323533333334,3,0.0
Neutral,@85,0.0,0.0,10,0.0
Neutral,@9,0.0,0.0,1,0.0
Neutral,AAVE,-5627.986742,-106.18842909433963,53,5.660377358490567
Neutral,ADA,19.898500000000002,1.5306538461538464,13,38.46153846153847
Neutral,AI,0.0,0.0,3,0.0
Neutral,AI16Z,-1120.618594,-9.829987666666668,114,33.33333333333333
Neutral,AIXBT,21990.866694,124.94810621590909,176,78.97727272727273
Neutral,ALGO,4.0068,4.0068,1,100.0
Neutral,ALT,2323.99174,35.753719076923076,65,75.38461538461539
Neutral,ANIME,-78.931119,-7.893111899999999,10,10.0
Neutral,APE,136.779738,3.5071727692307695,39,61.53846153846154
Neutral,APT,5.714354,5.714354,1,100.0
Neutral,ARB,82.437013,5.4958008666666665,15,26.666666666666668
Neutral,ATOM,0.15312,0.15312,1,100.0
Neutral,AVAX,35440.071585,1610.9123447727272,22,95.45454545454545
Neutral,BANANA,0.0,0.0,1,0.0
Neutral,BERA,-21617.07674,-189.6234801754386,114,34.21052631578947
Neutral,BIGTIME,-1.1952,-1.1952,1,0.0
Neutral,BLAST,1.065303,1.065303,1,100.0
Neutral,BLUR,27.531007,6.88275175,4,75.0
Neutral,BNB,506.52299999999997,26.659105263157894,19,73.68421052631578
Neutral,BOME,-9.122938,-3.040979333333333,3,33.33333333333333
Neutral,BRETT,2.8551,2.8551,1,100.0
Neutral,BTC,165980.345627,34.92117517925521,4753,32.88449400378708
Neutral,CAKE,594.282727,14.494700658536585,41,21.951219512195124
Neutral,CHILLGUY,61.86884,6.8743155555555555,9,44.44444444444444
Neutral,DOGE,115809.466287,2969.4734945384616,39,41.02564102564102
Neutral,DOT,9.13481,1.826962,5,40.0
Neutral,DYDX,18.919256,1.5766046666666667,12,25.0
Neutral,DYM,5.768124,2.884062,2,100.0
Neutral,EIGEN,11.516813,1.046983,11,9.090909090909092
Neutral,ENA,-4368.01318,-174.7205272,25,36.0
Neutral,ETC,38.32488,19.16244,2,50.0
Neutral,ETH,61574.088597999995,46.75329430372057,1317,46.16552771450266
Neutral,ETHFI,2673.269384,76.37912525714286,35,42.857142857142854
Neutral,FARTCOIN,-1621.812307,-3.060023220754717,530,17.735849056603772
Neutral,FTM,0.004343,0.0008686,5,20.0
Neutral,FTT,917.566714,11.469583925,80,43.75
Neutral,GALA,13.101431,4.367143666666666,3,66.66666666666666
Neutral,GAS,60.6139,30.30695,2,50.0
Neutral,GMT,11.447352,3.8157840000000003,3,66.66666666666666
Neutral,GMX,15.167606,1.0834004285714285,14,50.0
Neutral,GOAT,15.5193,15.5193,1,100.0
Neutral,GRASS,20.655617999999997,4.1311236,5,40.0
Neutral,GRIFFAIN,-609.7154129999999,-10.51233470689655,58,20.689655172413794
Neutral,HBAR,8.85375,8.85375,1,100.0
Neutral,HPOS,117.89757,10.717960909090909,11,18.181818181818183
Neutral,HYPE,300100.241102,17.32280311140614,17324,41.30108519972293
Neutral,ILV,-0.04207,-0.04207,1,0.0
Neutral,IMX,4.30904,4.30904,1,100.0
Neutral,IO,42.11446,4.679384444444445,9,100.0
Neutral,IP,957.22932,7.65783456,125,64.0
Neutral,JELLY,3539.484892,14.747853716666667,240,72.5
Neutral,JTO,-1116.809707,-25.382038795454545,44,63.63636363636363
Neutral,JUP,134.531822,12.230165636363637,11,45.45454545454545
Neutral,KAITO,879.870453,20.462103558139535,43,62.7906976744186
Neutral,LAYER,7307.4351,51.100944755244754,143,35.66433566433567
Neutral,LDO,85.906066,9.545118444444444,9,88.88888888888889
Neutral,LINK,189.49091900000002,4.858741512820513,39,56.41025641025641
Neutral,LISTA,4.46974,2.23487,2,50.0
Neutral,LOOM,0.0,0.0,3,0.0
Neutral,LTC,16.43157,5.47719,3,100.0
Neutral,MAV,0.0189,0.00945,2,50.0
Neutral,MAVIA,1395.255089,10.57011431060606,132,65.15151515151516
Neutral,ME,-3278.346756,-25.218051969230768,130,12.307692307692308
Neutral,MELANIA,41298.450046,82.596900092,500,19.8
Neutral,MEME,163.009986,40.7524965,4,75.0
Neutral,MEW,4.398952,4.398952,1,100.0
Neutral,MKR,29.645515,0.8470147142857143,35,45.714285714285715
Neutral,MOODENG,6.84105,3.420525,2,100.0
Neutral,MOVE,0.5021180000000001,0.10042360000000002,5,60.0
Neutral,MYRO,2.28114,2.28114,1,100.0
Neutral,NEAR,3.2119500000000003,1.6059750000000002,2,100.0
Neutral,NIL,-3175.273635,-14.049883340707964,226,7.52212389380531
Neutral,NTRN,187.309212,26.75845885714286,7,57.14285714285714
Neutral,OGN,1752.668422,6.793288457364341,258,99.6124031007752
Neutral,OM,-881.40554,-67.80042615384615,13,69.23076923076923
Neutral,ONDO,1225.839495,2.8180218275862066,435,27.35632183908046
Neutral,OP,82.364683,3.167872423076923,26,26.923076923076923
Neutral,PAXG,-19037.340561,-81.70532429613735,233,0.0
Neutral,PENDLE,2247.635948,9.858052403508772,228,54.824561403508774
Neutral,PENGU,1199.141133,11.642146922330097,103,73.7864077669903
Neutral,PEOPLE,0.0,0.0,1,0.0
Neutral,PNUT,984.738976,98.4738976,10,10.0
Neutral,POPCAT,-38.261680999999925,-0.08106288347457612,472,18.64406779661017
Neutral,PROMPT,-95.33896,-9.533896,10,0.0
Neutral,PURR,1023.002126,7.522074455882353,136,75.0
Neutral,PURR/USDC,-12286.961953,-65.0103807037037,189,1.5873015873015872
Neutral,PYTH,593.672754,8.022604783783784,74,44.5945945945946
Neutral,RENDER,15.62623,5.2087433333333335,3,66.66666666666666
Neutral,RLB,0.0,0.0,2,0.0
Neutral,RUNE,27.598647999999997,5.5197296,5,20.0
Neutral,S,-2.204838,-0.5512095,4,0.0
Neutral,SAND,89.03839400000001,5.564899625000001,16,50.0
Neutral,SEI,2524.55573,16.7189121192053,151,78.80794701986756
Neutral,SHIA,0.0,0.0,2,0.0
Neutral,SOL,303376.19465,216.69728189285715,1400,52.142857142857146
Neutral,STRK,4.74515,2.372575,2,100.0
Neutral,STX,0.0,0.0,25,0.0
Neutral,SUI,3459.360278,37.19742234408602,93,73.11827956989248
Neutral,SUPER,7.114800000000001,3.5574000000000003,2,100.0
Neutral,SUSHI,6.644702,1.1074503333333332,6,50.0
Neutral,TAO,-259.832604,-3.0213093488372094,86,27.906976744186046
Neutral,TIA,-2503.097638,-139.0609798888889,18,0.0
Neutral,TNSR,198.35476400000002,7.629029384615385,26,46.15384615384615
Neutral,TRUMP,20121.153242,59.706686178041544,337,50.14836795252226
Neutral,TST,3535.1932920000004,36.073400938775514,98,90.81632653061224
Neutral,UNI,25.506432,2.834048,9,44.44444444444444
Neutral,USTC,73.721649,36.8608245,2,50.0
Neutral,USUAL,697.075108,49.79107914285714,14,42.857142857142854
Neutral,VINE,3845.866111,6.735317182136602,571,32.57443082311734
Neutral,VIRTUAL,33.341692,1.6670846000000001,20,15.0
Neutral,VVV,655.000942,15.232580046511629,43,65.11627906976744
Neutral,W,25.733387999999998,6.4333469999999995,4,100.0
Neutral,WIF,105.858215,6.6161384375,16,31.25
Neutral,WLD,-4049.551922,-22.8788244180791,177,25.423728813559322
Neutral,XRP,37.59189,9.3979725,4,50.0
Neutral,YGG,19.82739,9.913695,2,100.0
Neutral,ZEREBRO,3420.751088,11.364621554817276,301,74.75083056478405
Neutral,ZETA,-13.88379,-1.5426433333333334,9,11.11111111111111
Neutral,ZRO,36172.38052,1446.8952208,25,100.0
Neutral,kBONK,130.04645799999997,0.8968721241379308,145,19.310344827586206
Neutral,kFLOKI,4.08395,4.08395,1,100.0
Neutral,kNEIRO,-2.840308,-2.840308,1,0.0
Neutral,kPEPE,-152.164238,-0.9510264875000001,160,2.5
Neutral,kSHIB,0.5267,0.5267,1,100.0
